Pos.,No.,Name,Team,Laps,Time/Gap,Personal Best,Position Diff
1,23,OMGCA,xTacing OFCR Team,28,38:33.696,1:10.980,+2
2,27,SennaAndProst,Kimi Sleeping Team,28,+24.132,1:10.866,+3
3,28,bob,xTacing OFCR Team,28,+26.331,1:13.386,+7
4,21,lovepes2010,Audi Sport Team FlyingBird,28,+32.082,1:09.844,-3
5,99,DumiBirdF,Audi Sport Team FlyingBird,28,+37.175,1:10.975,+1
6,32,Giedo VDG2013,NorthernChina Racing,16,DNF,1:12.814,+3
7,22,smallbubble,NorthernChina Racing,14,DNF,1:11.818,-3
8,0,ghgyyukg,Safety Car,9,DNF,1:39.236,+5
9,54,Kne_Yka,Shanghai Power Racing,8,DNF,1:13.077,+2
10,60,DUO MEI,Kimi Sleeping Team,8,DNF,1:11.654,+2
11,17,Eskwen,Team Russian Poisonous Milk,4,DNF,1:31.547,-3
12,15,wagonggong,Team Russian Poisonous Milk,3,DNF,1:27.323,-10
13,48,Parker Chen,Shanghai Power Racing,0,DNF,N/A,-6
